year,state_po,county_name,county_fips,DEMOCRAT,REPUBLICAN
2000,AK,DISTRICT 1,2001.0,0.19290865384615385,0.7032752403846154
2000,AK,DISTRICT 10,2010.0,0.24696082845565062,0.6385637100405223
2000,AK,DISTRICT 11,2011.0,0.2926934097421203,0.5673352435530086
2000,AK,DISTRICT 12,2012.0,0.269832916721484,0.6086041310353901
2000,AK,DISTRICT 13,2013.0,0.3350119602165429,0.48508120357547524
2000,AK,DISTRICT 14,2014.0,0.2770961145194274,0.6390593047034765
2000,AK,DISTRICT 15,2015.0,0.35877342419080066,0.4178875638841567
2000,AK,DISTRICT 16,2016.0,0.42027748132337245,0.4226254002134472
2000,AK,DISTRICT 17,2017.0,0.28946002076843197,0.5924195223260644
2000,AK,DISTRICT 18,2018.0,0.277170613236187,0.5485731633272617
2000,AK,DISTRICT 19,2019.0,0.2955603068796378,0.5809332159476795
2000,AK,DISTRICT 2,2002.0,0.28167298321602596,0.573226854358419
2000,AK,DISTRICT 20,2020.0,0.3244291253769927,0.5239121068504955
2000,AK,DISTRICT 21,2021.0,0.3483179966812491,0.4922311057474732
2000,AK,DISTRICT 22,2022.0,0.3115542521994135,0.5759530791788856
2000,AK,DISTRICT 23,2023.0,0.27688984881209505,0.639524838012959
2000,AK,DISTRICT 24,2024.0,0.25078963992419456,0.6396715097915351
2000,AK,DISTRICT 25,2025.0,0.20692598463602,0.6693086208998903
2000,AK,DISTRICT 26,2026.0,0.18719441210710128,0.6832363213038417
2000,AK,DISTRICT 27,2027.0,0.21067254263268825,0.6432266717762023
2000,AK,DISTRICT 28,2028.0,0.19166666666666668,0.6442934782608696
2000,AK,DISTRICT 29,2029.0,0.31803241527825005,0.45948090218746457
2000,AK,DISTRICT 3,2003.0,0.4489969604863222,0.3811550151975684
2000,AK,DISTRICT 30,2030.0,0.2791385829360513,0.5954298865691271
2000,AK,DISTRICT 31,2031.0,0.30695725062866724,0.5575859178541492
2000,AK,DISTRICT 32,2032.0,0.23023371456986574,0.6925244488645782
2000,AK,DISTRICT 33,2033.0,0.2025941230486685,0.6662075298438935
2000,AK,DISTRICT 34,2034.0,0.1817165222253285,0.7328767123287672
2000,AK,DISTRICT 35,2035.0,0.1892823566280163,0.6703227828267001
2000,AK,DISTRICT 36,2036.0,0.3487538102922718,0.5391787699480007
2000,AK,DISTRICT 37,2037.0,0.36217183770883055,0.5419649960222752
2000,AK,DISTRICT 38,2038.0,0.404943729903537,0.4957797427652733
2000,AK,DISTRICT 39,2039.0,0.43986121819583657,0.447378565921357
2000,AK,DISTRICT 4,2004.0,0.3470535600153394,0.527546976863096
2000,AK,DISTRICT 40,2040.0,0.3174209547427154,0.5675759454432734
2000,AK,DISTRICT 5,2005.0,0.299984464812801,0.5507223862047538
2000,AK,DISTRICT 6,2006.0,0.25278688524590165,0.6331147540983607
2000,AK,DISTRICT 7,2007.0,0.21816295954823095,0.5610233951826669
2000,AK,DISTRICT 8,2008.0,0.18776635748307846,0.6732263725244422
2000,AK,DISTRICT 9,2009.0,0.17691176470588235,0.7042647058823529
2000,AL,AUTAUGA,1001.0,0.2871920037192004,0.6969432821943282
2000,AL,BALDWIN,1003.0,0.24782223796033995,0.7236543909348442
2000,AL,BARBOUR,1005.0,0.4990860990860991,0.49023569023569025
2000,AL,BIBB,1007.0,0.381636389240952,0.6017462329249401
2000,AL,BLOUNT,1009.0,0.2769153730595894,0.704779391309186
2000,AL,BULLOCK,1011.0,0.6922920065252854,0.29221044045676997
2000,AL,BUTLER,1013.0,0.46212995001922336,0.5288991413558888
2000,AL,CALHOUN,1015.0,0.40558739623223417,0.5732863861831453
2000,AL,CHAMBERS,1017.0,0.47456481324995775,0.5101402737873922
2000,AL,CHEROKEE,1019.0,0.4470152115556692,0.5309983382334142
2000,AL,CHILTON,1021.0,0.3184468592631858,0.6669758812615956
2000,AL,CHOCTAW,1023.0,0.5027122321670735,0.4882017900732303
2000,AL,CLARKE,1025.0,0.43517485119047616,0.5569196428571429
2000,AL,CLAY,1027.0,0.34761176270610233,0.6321604623491416
2000,AL,CLEBURNE,1029.0,0.3267871170463472,0.6545561665357423
2000,AL,COFFEE,1031.0,0.3382143319942983,0.6439030711416354
2000,AL,COLBERT,1033.0,0.4896433215678989,0.4884822589634033
2000,AL,CONECUH,1035.0,0.5013511079084849,0.4862186993334534
2000,AL,COOSA,1037.0,0.46069629954017954,0.5215677687760018
2000,AL,COVINGTON,1039.0,0.3261588187761698,0.6582678322192023
2000,AL,CRENSHAW,1041.0,0.4033368091762252,0.5824817518248175
2000,AL,CULLMAN,1043.0,0.3304995766299746,0.648839966130398
2000,AL,DALE,1045.0,0.3103884600784512,0.6701885359989878
2000,AL,DALLAS,1047.0,0.5939666377816292,0.3986135181975737
2000,AL,DEKALB,1049.0,0.3478432339166872,0.6323391668720729
2000,AL,ELMORE,1051.0,0.2794488321290539,0.7047975130230213
2000,AL,ESCAMBIA,1053.0,0.3879073756432247,0.5981989708404802
2000,AL,ETOWAH,1055.0,0.4430466605672461,0.5359103385178408
2000,AL,FAYETTE,1057.0,0.39241803278688525,0.5868340163934426
2000,AL,FRANKLIN,1059.0,0.43168513014500587,0.551112311987751
2000,AL,GENEVA,1061.0,0.28967465216026783,0.6891934302751334
2000,AL,GREENE,1063.0,0.7970882620564149,0.19335759781619655
2000,AL,HALE,1065.0,0.6017332815935843,0.3859785280041392
2000,AL,HENRY,1067.0,0.4013271783035199,0.5848240046162724
2000,AL,HOUSTON,1069.0,0.29360202139938235,0.6909567333187759
2000,AL,JACKSON,1071.0,0.506310733832235,0.47330503741762536
2000,AL,JEFFERSON,1073.0,0.4744578339658756,0.5058791728611974
2000,AL,LAMAR,1075.0,0.3659815146916816,0.6166367774865499
2000,AL,LAUDERDALE,1077.0,0.4317453402620033,0.5438591032143635
2000,AL,LAWRENCE,1079.0,0.5167008617152237,0.4654082888797702
2000,AL,LEE,1081.0,0.38088020071085094,0.5862690779845285
2000,AL,LIMESTONE,1083.0,0.3804688161123805,0.600998561394601
2000,AL,LOWNDES,1085.0,0.7299375300336377,0.2623738587217684
2000,AL,MACON,1087.0,0.8679651228626429,0.12354206771600046
2000,AL,MADISON,1089.0,0.42534284050195026,0.5484653806103179
2000,AL,MARENGO,1091.0,0.5038509575353872,0.48813488759367196
2000,AL,MARION,1093.0,0.39128955427015993,0.5877849608710446
2000,AL,MARSHALL,1095.0,0.3708957090285469,0.6103826503269142
2000,AL,MOBILE,1097.0,0.4196214533614798,0.5593187591684855
2000,AL,MONROE,1099.0,0.41794212937102,0.5756898670539604
2000,AL,MONTGOMERY,1101.0,0.5025769345682701,0.4833557414600139
2000,AL,MORGAN,1103.0,0.37627984349007754,0.6038752606546238
